population-level,bf.log,priors
1,0.0000,chosen
diagnosis * emo + sfsr.disc,126.0407,chosen
diagnosis,6.1320,chosen
emo,71.3073,chosen
sfsr.disc,33.3845,chosen
diagnosis + emo,84.2499,chosen
diagnosis + sfsr.disc,34.2616,chosen
emo + sfsr.disc,136.1645,chosen
diagnosis + emo + sfsr.disc,140.5225,chosen
diagnosis + emo + diagnosis:emo,72.2653,chosen
1,0.0000,sdx1.25
diagnosis * emo + sfsr.disc,128.7679,sdx1.25
diagnosis,6.0597,sdx1.25
emo,74.7406,sdx1.25
sfsr.disc,35.3677,sdx1.25
diagnosis + emo,87.6337,sdx1.25
diagnosis + sfsr.disc,35.6277,sdx1.25
emo + sfsr.disc,141.4627,sdx1.25
diagnosis + emo + sfsr.disc,145.3274,sdx1.25
diagnosis + emo + diagnosis:emo,73.5487,sdx1.25
1,0.0000,sdx1.5
diagnosis * emo + sfsr.disc,129.1337,sdx1.5
diagnosis,5.8203,sdx1.5
emo,76.3177,sdx1.5
sfsr.disc,36.3155,sdx1.5
diagnosis + emo,88.9913,sdx1.5
diagnosis + sfsr.disc,36.0589,sdx1.5
emo + sfsr.disc,143.9606,sdx1.5
diagnosis + emo + sfsr.disc,147.3729,sdx1.5
diagnosis + emo + diagnosis:emo,73.2202,sdx1.5
1,0.0000,sdx2
diagnosis * emo + sfsr.disc,127.7038,sdx2
diagnosis,5.2530,sdx2
emo,77.4972,sdx2
sfsr.disc,37.1081,sdx2
diagnosis + emo,89.6225,sdx2
diagnosis + sfsr.disc,36.0161,sdx2
emo + sfsr.disc,145.9250,sdx2
diagnosis + emo + sfsr.disc,148.5684,sdx2
diagnosis + emo + diagnosis:emo,71.2229,sdx2
1,0.0000,sdx4
diagnosis * emo + sfsr.disc,119.5933,sdx4
diagnosis,3.4436,sdx4
emo,77.3200,sdx4
sfsr.disc,37.4093,sdx4
diagnosis + emo,87.6718,sdx4
diagnosis + sfsr.disc,34.2675,sdx4
emo + sfsr.disc,146.0752,sdx4
diagnosis + emo + sfsr.disc,146.7250,sdx4
diagnosis + emo + diagnosis:emo,62.9976,sdx4
1,0.0000,sdx6
diagnosis * emo + sfsr.disc,113.6491,sdx6
diagnosis,2.2777,sdx6
emo,76.4497,sdx6
sfsr.disc,37.1844,sdx6
diagnosis + emo,85.6408,sdx6
